ep_str,r_str,ep,r
Episode 146,Reward: 25.0,146,25
Episode 147,Reward: 25.0,147,25
Episode 148,Reward: 100.0,148,100
Episode 149,Reward: 25.0,149,25
Episode 150,Reward: 100.0,150,100
Episode 151,Reward: 75.0,151,75
Episode 152,Reward: 175.0,152,175
Episode 153,Reward: 75.0,153,75
Episode 154,Reward: 150.0,154,150
Episode 155,Reward: 50.0,155,50
Episode 156,Reward: 350.0,156,350
Episode 157,Reward: 50.0,157,50
Episode 158,Reward: 25.0,158,25
Episode 159,Reward: 550.0,159,550
Episode 160,Reward: 50.0,160,50
Episode 161,Reward: 50.0,161,50
Episode 162,Reward: 225.0,162,225
Episode 163,Reward: 125.0,163,125
Episode 164,Reward: 75.0,164,75
Episode 165,Reward: 25.0,165,25
Episode 166,Reward: 50.0,166,50
Episode 167,Reward: 125.0,167,125
Episode 168,Reward: 75.0,168,75
Episode 169,Reward: 25.0,169,25
Episode 170,Reward: 75.0,170,75
Episode 171,Reward: 50.0,171,50
Episode 172,Reward: 25.0,172,25
Episode 173,Reward: 25.0,173,25
Episode 174,Reward: 75.0,174,75
Episode 175,Reward: 75.0,175,75
Episode 176,Reward: 225.0,176,225
Episode 177,Reward: 75.0,177,75
Episode 178,Reward: 75.0,178,75
Episode 179,Reward: 50.0,179,50
Episode 180,Reward: 50.0,180,50
Episode 181,Reward: 125.0,181,125
Episode 182,Reward: 50.0,182,50
Episode 183,Reward: 50.0,183,50
Episode 184,Reward: 25.0,184,25
Episode 185,Reward: 150.0,185,150
Episode 186,Reward: 75.0,186,75
Episode 187,Reward: 175.0,187,175
Episode 188,Reward: 25.0,188,25
Episode 189,Reward: 50.0,189,50
Episode 190,Reward: 50.0,190,50
Episode 191,Reward: 50.0,191,50
Episode 192,Reward: 50.0,192,50
Episode 193,Reward: 125.0,193,125
Episode 194,Reward: 50.0,194,50
Episode 195,Reward: 500.0,195,500
Episode 196,Reward: 25.0,196,25
Episode 197,Reward: 75.0,197,75
Episode 198,Reward: 50.0,198,50
Episode 199,Reward: 25.0,199,25
Episode 200,Reward: 75.0,200,75
Episode 201,Reward: 50.0,201,50
Episode 202,Reward: 25.0,202,25
Episode 203,Reward: 50.0,203,50
Episode 204,Reward: 225.0,204,225
Episode 205,Reward: 150.0,205,150
Episode 206,Reward: 75.0,206,75
Episode 207,Reward: 150.0,207,150
Episode 208,Reward: 550.0,208,550
Episode 209,Reward: 100.0,209,100
Episode 210,Reward: 50.0,210,50
Episode 211,Reward: 75.0,211,75
Episode 212,Reward: 75.0,212,75
Episode 213,Reward: 50.0,213,50
Episode 214,Reward: 0.0,214,0
Episode 215,Reward: 50.0,215,50
Episode 216,Reward: 100.0,216,100
Episode 217,Reward: 75.0,217,75
Episode 218,Reward: 100.0,218,100
Episode 219,Reward: 25.0,219,25
Episode 220,Reward: 50.0,220,50
Episode 221,Reward: 400.0,221,400
Episode 222,Reward: 75.0,222,75
Episode 223,Reward: 75.0,223,75
Episode 224,Reward: 350.0,224,350
Episode 225,Reward: 50.0,225,50
Episode 226,Reward: 75.0,226,75
Episode 227,Reward: 75.0,227,75
Episode 228,Reward: 175.0,228,175
Episode 229,Reward: 250.0,229,250
Episode 230,Reward: 75.0,230,75
Episode 231,Reward: 75.0,231,75
Episode 232,Reward: 50.0,232,50
Episode 233,Reward: 75.0,233,75
Episode 234,Reward: 450.0,234,450
Episode 235,Reward: 25.0,235,25
Episode 236,Reward: 75.0,236,75
Episode 237,Reward: 75.0,237,75
Episode 238,Reward: 250.0,238,250
Episode 239,Reward: 75.0,239,75
Episode 240,Reward: 25.0,240,25
Episode 241,Reward: 50.0,241,50
Episode 242,Reward: 50.0,242,50
Episode 243,Reward: 50.0,243,50
Episode 244,Reward: 225.0,244,225
Episode 245,Reward: 325.0,245,325
Episode 246,Reward: 50.0,246,50
Episode 247,Reward: 75.0,247,75
Episode 248,Reward: 100.0,248,100
Episode 249,Reward: 75.0,249,75
Episode 250,Reward: 75.0,250,75
Episode 251,Reward: 50.0,251,50
Episode 252,Reward: 50.0,252,50
Episode 253,Reward: 200.0,253,200
Episode 254,Reward: 75.0,254,75
Episode 255,Reward: 75.0,255,75
Episode 256,Reward: 50.0,256,50
Episode 257,Reward: 300.0,257,300
Episode 258,Reward: 475.0,258,475
Episode 259,Reward: 150.0,259,150
Episode 260,Reward: 175.0,260,175
Episode 261,Reward: 475.0,261,475
Episode 262,Reward: 525.0,262,525
Episode 263,Reward: 150.0,263,150
Episode 264,Reward: 175.0,264,175
Episode 265,Reward: 125.0,265,125
Episode 266,Reward: 400.0,266,400
Episode 267,Reward: 125.0,267,125
Episode 268,Reward: 50.0,268,50
Episode 269,Reward: 100.0,269,100
Episode 270,Reward: 125.0,270,125
Episode 271,Reward: 50.0,271,50
Episode 272,Reward: 250.0,272,250
Episode 273,Reward: 175.0,273,175
Episode 274,Reward: 450.0,274,450
Episode 275,Reward: 25.0,275,25
Episode 276,Reward: 175.0,276,175
Episode 277,Reward: 275.0,277,275
Episode 278,Reward: 0.0,278,0
Episode 279,Reward: 425.0,279,425
Episode 280,Reward: 175.0,280,175
Episode 281,Reward: 100.0,281,100
Episode 282,Reward: 200.0,282,200
Episode 283,Reward: 100.0,283,100
Episode 284,Reward: 25.0,284,25
Episode 285,Reward: 25.0,285,25
Episode 286,Reward: 25.0,286,25
Episode 287,Reward: 75.0,287,75
Episode 288,Reward: 100.0,288,100
Episode 289,Reward: 100.0,289,100
Episode 290,Reward: 100.0,290,100
Episode 291,Reward: 150.0,291,150
Episode 292,Reward: 25.0,292,25
Episode 293,Reward: 150.0,293,150
Episode 294,Reward: 575.0,294,575
Episode 295,Reward: 200.0,295,200
Episode 296,Reward: 425.0,296,425
Episode 297,Reward: 175.0,297,175
Episode 298,Reward: 200.0,298,200
Episode 299,Reward: 225.0,299,225
Episode 300,Reward: 475.0,300,475
Episode 301,Reward: 50.0,301,50
Episode 302,Reward: 200.0,302,200
Episode 303,Reward: 500.0,303,500
Episode 304,Reward: 450.0,304,450
Episode 305,Reward: 150.0,305,150
Episode 306,Reward: 150.0,306,150
Episode 307,Reward: 450.0,307,450
Episode 308,Reward: 575.0,308,575
Episode 309,Reward: 450.0,309,450
Episode 310,Reward: 175.0,310,175
Episode 311,Reward: 500.0,311,500
Episode 312,Reward: 275.0,312,275
Episode 313,Reward: 400.0,313,400
Episode 314,Reward: 250.0,314,250
Episode 315,Reward: 225.0,315,225
Episode 316,Reward: 650.0,316,650
Episode 317,Reward: 700.0,317,700
Episode 318,Reward: 200.0,318,200
Episode 319,Reward: 125.0,319,125
Episode 320,Reward: 125.0,320,125
Episode 321,Reward: 600.0,321,600
Episode 322,Reward: 175.0,322,175
Episode 323,Reward: 0.0,323,0
Episode 324,Reward: 150.0,324,150
Episode 325,Reward: 200.0,325,200
Episode 326,Reward: 150.0,326,150
Episode 327,Reward: 125.0,327,125
Episode 328,Reward: 75.0,328,75
Episode 329,Reward: 125.0,329,125
Episode 330,Reward: 175.0,330,175
Episode 331,Reward: 125.0,331,125
Episode 332,Reward: 125.0,332,125
Episode 333,Reward: 100.0,333,100
Episode 334,Reward: 50.0,334,50
Episode 335,Reward: 250.0,335,250
Episode 336,Reward: 125.0,336,125
Episode 337,Reward: 125.0,337,125
Episode 338,Reward: 125.0,338,125
Episode 339,Reward: 0.0,339,0
Episode 340,Reward: 175.0,340,175
Episode 341,Reward: 100.0,341,100
Episode 342,Reward: 150.0,342,150
Episode 343,Reward: 125.0,343,125
Episode 344,Reward: 125.0,344,125
Episode 345,Reward: 75.0,345,75
Episode 346,Reward: 125.0,346,125
Episode 347,Reward: 50.0,347,50
Episode 348,Reward: 500.0,348,500
Episode 349,Reward: 175.0,349,175
Episode 350,Reward: 175.0,350,175
Episode 351,Reward: 0.0,351,0
Episode 352,Reward: 250.0,352,250
Episode 353,Reward: 0.0,353,0
Episode 354,Reward: 200.0,354,200
Episode 355,Reward: 425.0,355,425
Episode 356,Reward: 150.0,356,150
Episode 357,Reward: 100.0,357,100
Episode 358,Reward: 125.0,358,125
Episode 359,Reward: 100.0,359,100
Episode 360,Reward: 200.0,360,200
Episode 361,Reward: 175.0,361,175
Episode 362,Reward: 250.0,362,250
Episode 363,Reward: 175.0,363,175
Episode 364,Reward: 100.0,364,100
Episode 365,Reward: 175.0,365,175
Episode 366,Reward: 50.0,366,50
Episode 367,Reward: 625.0,367,625
Episode 368,Reward: 75.0,368,75
Episode 369,Reward: 0.0,369,0
Episode 370,Reward: 75.0,370,75
Episode 371,Reward: 250.0,371,250
Episode 372,Reward: 575.0,372,575
Episode 373,Reward: 100.0,373,100
Episode 374,Reward: 75.0,374,75
Episode 375,Reward: 25.0,375,25
Episode 376,Reward: 25.0,376,25
Episode 377,Reward: 25.0,377,25
Episode 378,Reward: 300.0,378,300
Episode 379,Reward: 50.0,379,50
Episode 380,Reward: 150.0,380,150
Episode 381,Reward: 25.0,381,25
Episode 382,Reward: 175.0,382,175
Episode 383,Reward: 200.0,383,200
Episode 384,Reward: 125.0,384,125
Episode 385,Reward: 125.0,385,125
Episode 386,Reward: 200.0,386,200
Episode 387,Reward: 475.0,387,475
Episode 388,Reward: 525.0,388,525
Episode 389,Reward: 125.0,389,125
Episode 390,Reward: 425.0,390,425
Episode 391,Reward: 250.0,391,250
Episode 392,Reward: 125.0,392,125
Episode 393,Reward: 125.0,393,125
Episode 394,Reward: 1050.0,394,1050
Episode 395,Reward: 400.0,395,400
Episode 396,Reward: 500.0,396,500
Episode 397,Reward: 125.0,397,125
Episode 398,Reward: 175.0,398,175
Episode 399,Reward: 575.0,399,575
Episode 400,Reward: 200.0,400,200
Episode 401,Reward: 425.0,401,425
Episode 402,Reward: 525.0,402,525
Episode 403,Reward: 475.0,403,475
Episode 404,Reward: 450.0,404,450
Episode 405,Reward: 575.0,405,575
Episode 406,Reward: 450.0,406,450
Episode 407,Reward: 125.0,407,125
Episode 408,Reward: 550.0,408,550
Episode 409,Reward: 75.0,409,75
Episode 410,Reward: 525.0,410,525
Episode 411,Reward: 550.0,411,550
Episode 412,Reward: 1125.0,412,1125
Episode 413,Reward: 125.0,413,125
Episode 414,Reward: 150.0,414,150
Episode 415,Reward: 325.0,415,325
Episode 416,Reward: 250.0,416,250
Episode 417,Reward: 525.0,417,525
Episode 418,Reward: 500.0,418,500
Episode 419,Reward: 200.0,419,200
Episode 420,Reward: 425.0,420,425
Episode 421,Reward: 450.0,421,450
Episode 422,Reward: 250.0,422,250
Episode 423,Reward: 325.0,423,325
Episode 424,Reward: 100.0,424,100
Episode 425,Reward: 550.0,425,550
Episode 426,Reward: 175.0,426,175
Episode 427,Reward: 125.0,427,125
Episode 428,Reward: 575.0,428,575
Episode 429,Reward: 250.0,429,250
Episode 430,Reward: 350.0,430,350
Episode 431,Reward: 275.0,431,275
Episode 432,Reward: 275.0,432,275
Episode 433,Reward: 150.0,433,150
Episode 434,Reward: 575.0,434,575
Episode 435,Reward: 500.0,435,500
Episode 436,Reward: 325.0,436,325
Episode 437,Reward: 175.0,437,175
Episode 438,Reward: 325.0,438,325
Episode 439,Reward: 250.0,439,250
Episode 440,Reward: 525.0,440,525
Episode 441,Reward: 200.0,441,200
Episode 442,Reward: 125.0,442,125
Episode 443,Reward: 550.0,443,550
Episode 444,Reward: 175.0,444,175
Episode 445,Reward: 125.0,445,125
Episode 446,Reward: 275.0,446,275
Episode 447,Reward: 100.0,447,100
Episode 448,Reward: 200.0,448,200
Episode 449,Reward: 250.0,449,250
Episode 450,Reward: 500.0,450,500
Episode 451,Reward: 200.0,451,200
Episode 452,Reward: 450.0,452,450
Episode 453,Reward: 200.0,453,200
Episode 454,Reward: 225.0,454,225
Episode 455,Reward: 475.0,455,475
Episode 456,Reward: 150.0,456,150
Episode 457,Reward: 250.0,457,250
Episode 458,Reward: 500.0,458,500
Episode 459,Reward: 175.0,459,175
Episode 460,Reward: 100.0,460,100
Episode 461,Reward: 575.0,461,575
Episode 462,Reward: 600.0,462,600
Episode 463,Reward: 200.0,463,200
Episode 464,Reward: 300.0,464,300
Episode 465,Reward: 275.0,465,275
Episode 466,Reward: 225.0,466,225
Episode 467,Reward: 725.0,467,725
Episode 468,Reward: 400.0,468,400
Episode 469,Reward: 975.0,469,975
Episode 470,Reward: 425.0,470,425
Episode 471,Reward: 125.0,471,125
Episode 472,Reward: 150.0,472,150
Episode 473,Reward: 100.0,473,100
Episode 474,Reward: 575.0,474,575
Episode 475,Reward: 150.0,475,150
Episode 476,Reward: 450.0,476,450
Episode 477,Reward: 50.0,477,50
Episode 478,Reward: 600.0,478,600
Episode 479,Reward: 200.0,479,200
Episode 480,Reward: 600.0,480,600
Episode 481,Reward: 150.0,481,150
Episode 482,Reward: 0.0,482,0
Episode 483,Reward: 650.0,483,650
Episode 484,Reward: 225.0,484,225
Episode 485,Reward: 100.0,485,100
Episode 486,Reward: 475.0,486,475
Episode 487,Reward: 125.0,487,125
Episode 488,Reward: 225.0,488,225
Episode 489,Reward: 150.0,489,150
Episode 490,Reward: 175.0,490,175
Episode 491,Reward: 400.0,491,400
Episode 492,Reward: 525.0,492,525
Episode 493,Reward: 525.0,493,525
Episode 494,Reward: 250.0,494,250
Episode 495,Reward: 225.0,495,225
Episode 496,Reward: 75.0,496,75
Episode 497,Reward: 25.0,497,25
Episode 498,Reward: 425.0,498,425
Episode 499,Reward: 25.0,499,25
Episode 500,Reward: 50.0,500,50
Episode 501,Reward: 125.0,501,125
Episode 502,Reward: 50.0,502,50
Episode 503,Reward: 25.0,503,25
Episode 504,Reward: 150.0,504,150
Episode 505,Reward: 250.0,505,250
Episode 506,Reward: 400.0,506,400
Episode 507,Reward: 525.0,507,525
Episode 508,Reward: 75.0,508,75
Episode 509,Reward: 175.0,509,175
Episode 510,Reward: 175.0,510,175
Episode 511,Reward: 75.0,511,75
Episode 512,Reward: 25.0,512,25
Episode 513,Reward: 150.0,513,150
Episode 514,Reward: 25.0,514,25
Episode 515,Reward: 25.0,515,25
Episode 516,Reward: 25.0,516,25
Episode 517,Reward: 100.0,517,100
Episode 518,Reward: 75.0,518,75
Episode 519,Reward: 25.0,519,25
Episode 520,Reward: 25.0,520,25
Episode 521,Reward: 25.0,521,25
Episode 522,Reward: 25.0,522,25
Episode 523,Reward: 25.0,523,25
Episode 524,Reward: 125.0,524,125
Episode 525,Reward: 125.0,525,125
Episode 526,Reward: 50.0,526,50
Episode 527,Reward: 75.0,527,75
Episode 528,Reward: 50.0,528,50
Episode 529,Reward: 75.0,529,75
Episode 530,Reward: 125.0,530,125
Episode 531,Reward: 200.0,531,200
Episode 532,Reward: 0.0,532,0
Episode 533,Reward: 300.0,533,300
Episode 534,Reward: 150.0,534,150
Episode 535,Reward: 275.0,535,275
Episode 536,Reward: 375.0,536,375
Episode 537,Reward: 525.0,537,525
Episode 538,Reward: 675.0,538,675
Episode 539,Reward: 100.0,539,100
Episode 540,Reward: 250.0,540,250
Episode 541,Reward: 225.0,541,225
Episode 542,Reward: 400.0,542,400
Episode 543,Reward: 575.0,543,575
Episode 544,Reward: 225.0,544,225
Episode 545,Reward: 225.0,545,225
Episode 546,Reward: 225.0,546,225
Episode 547,Reward: 150.0,547,150
Episode 548,Reward: 425.0,548,425
Episode 549,Reward: 50.0,549,50
Episode 550,Reward: 150.0,550,150
Episode 551,Reward: 200.0,551,200
Episode 552,Reward: 150.0,552,150
Episode 553,Reward: 200.0,553,200
Episode 554,Reward: 225.0,554,225
Episode 555,Reward: 150.0,555,150
Episode 556,Reward: 125.0,556,125
Episode 557,Reward: 250.0,557,250
Episode 558,Reward: 150.0,558,150
Episode 559,Reward: 475.0,559,475
Episode 560,Reward: 325.0,560,325
Episode 561,Reward: 150.0,561,150
Episode 562,Reward: 275.0,562,275
Episode 563,Reward: 350.0,563,350
Episode 564,Reward: 525.0,564,525
Episode 565,Reward: 300.0,565,300
Episode 566,Reward: 300.0,566,300
Episode 567,Reward: 325.0,567,325
Episode 568,Reward: 600.0,568,600
Episode 569,Reward: 225.0,569,225
Episode 570,Reward: 175.0,570,175
Episode 571,Reward: 250.0,571,250
Episode 572,Reward: 125.0,572,125
Episode 573,Reward: 125.0,573,125
Episode 574,Reward: 250.0,574,250
Episode 575,Reward: 625.0,575,625
Episode 576,Reward: 150.0,576,150
Episode 577,Reward: 600.0,577,600
Episode 578,Reward: 150.0,578,150
Episode 579,Reward: 250.0,579,250
Episode 580,Reward: 0.0,580,0
Episode 581,Reward: 575.0,581,575
Episode 582,Reward: 200.0,582,200
Episode 583,Reward: 325.0,583,325
Episode 584,Reward: 200.0,584,200
Episode 585,Reward: 150.0,585,150
Episode 586,Reward: 75.0,586,75
Episode 587,Reward: 250.0,587,250
Episode 588,Reward: 450.0,588,450
Episode 589,Reward: 275.0,589,275
Episode 590,Reward: 200.0,590,200
Episode 591,Reward: 75.0,591,75
Episode 592,Reward: 150.0,592,150
Episode 593,Reward: 175.0,593,175
Episode 594,Reward: 100.0,594,100
Episode 595,Reward: 150.0,595,150
Episode 596,Reward: 125.0,596,125
Episode 597,Reward: 150.0,597,150
