ep_str,r_str,ep,r
Episode 0,Reward: 300.0,0,300
Episode 1,Reward: 275.0,1,275
Episode 2,Reward: 75.0,2,75
Episode 3,Reward: 350.0,3,350
Episode 4,Reward: 125.0,4,125
Episode 5,Reward: 575.0,5,575
Episode 6,Reward: 375.0,6,375
Episode 7,Reward: 50.0,7,50
Episode 8,Reward: 125.0,8,125
Episode 9,Reward: 100.0,9,100
Episode 10,Reward: 225.0,10,225
Episode 11,Reward: 175.0,11,175
Episode 12,Reward: 675.0,12,675
Episode 13,Reward: 425.0,13,425
Episode 14,Reward: 100.0,14,100
Episode 15,Reward: 625.0,15,625
Episode 16,Reward: 75.0,16,75
Episode 17,Reward: 100.0,17,100
Episode 18,Reward: 225.0,18,225
Episode 19,Reward: 125.0,19,125
Episode 20,Reward: 100.0,20,100
Episode 21,Reward: 175.0,21,175
Episode 22,Reward: 150.0,22,150
Episode 23,Reward: 325.0,23,325
Episode 24,Reward: 125.0,24,125
Episode 25,Reward: 125.0,25,125
Episode 26,Reward: 125.0,26,125
Episode 27,Reward: 75.0,27,75
Episode 28,Reward: 250.0,28,250
Episode 29,Reward: 650.0,29,650
Episode 30,Reward: 175.0,30,175
Episode 31,Reward: 500.0,31,500
Episode 32,Reward: 250.0,32,250
Episode 33,Reward: 450.0,33,450
Episode 34,Reward: 625.0,34,625
Episode 35,Reward: 450.0,35,450
Episode 36,Reward: 600.0,36,600
Episode 37,Reward: 450.0,37,450
Episode 38,Reward: 575.0,38,575
Episode 39,Reward: 500.0,39,500
Episode 40,Reward: 425.0,40,425
Episode 41,Reward: 525.0,41,525
Episode 42,Reward: 525.0,42,525
Episode 43,Reward: 425.0,43,425
Episode 44,Reward: 525.0,44,525
Episode 45,Reward: 525.0,45,525
Episode 46,Reward: 575.0,46,575
Episode 47,Reward: 450.0,47,450
Episode 48,Reward: 600.0,48,600
Episode 49,Reward: 600.0,49,600
Episode 50,Reward: 175.0,50,175
Episode 51,Reward: 1100.0,51,1100
Episode 52,Reward: 325.0,52,325
Episode 53,Reward: 150.0,53,150
Episode 54,Reward: 550.0,54,550
Episode 55,Reward: 675.0,55,675
Episode 56,Reward: 550.0,56,550
Episode 57,Reward: 325.0,57,325
Episode 58,Reward: 575.0,58,575
Episode 59,Reward: 75.0,59,75
Episode 60,Reward: 175.0,60,175
Episode 61,Reward: 600.0,61,600
Episode 62,Reward: 775.0,62,775
Episode 63,Reward: 525.0,63,525
Episode 64,Reward: 575.0,64,575
Episode 65,Reward: 575.0,65,575
Episode 66,Reward: 550.0,66,550
Episode 67,Reward: 675.0,67,675
Episode 68,Reward: 625.0,68,625
Episode 69,Reward: 525.0,69,525
Episode 70,Reward: 625.0,70,625
Episode 71,Reward: 550.0,71,550
Episode 72,Reward: 175.0,72,175
Episode 73,Reward: 525.0,73,525
Episode 74,Reward: 700.0,74,700
Episode 75,Reward: 175.0,75,175
Episode 76,Reward: 375.0,76,375
Episode 77,Reward: 500.0,77,500
Episode 78,Reward: 100.0,78,100
Episode 79,Reward: 625.0,79,625
Episode 80,Reward: 450.0,80,450
Episode 81,Reward: 1175.0,81,1175
Episode 82,Reward: 325.0,82,325
Episode 83,Reward: 600.0,83,600
Episode 84,Reward: 525.0,84,525
Episode 85,Reward: 675.0,85,675
Episode 86,Reward: 225.0,86,225
Episode 87,Reward: 500.0,87,500
Episode 88,Reward: 525.0,88,525
Episode 89,Reward: 225.0,89,225
Episode 90,Reward: 650.0,90,650
Episode 91,Reward: 475.0,91,475
Episode 92,Reward: 450.0,92,450
Episode 93,Reward: 425.0,93,425
Episode 94,Reward: 550.0,94,550
Episode 95,Reward: 675.0,95,675
Episode 96,Reward: 475.0,96,475
Episode 97,Reward: 700.0,97,700
Episode 98,Reward: 500.0,98,500
Episode 99,Reward: 500.0,99,500
Episode 100,Reward: 500.0,100,500
Episode 101,Reward: 700.0,101,700
Episode 102,Reward: 550.0,102,550
Episode 103,Reward: 475.0,103,475
Episode 104,Reward: 525.0,104,525
Episode 105,Reward: 500.0,105,500
Episode 106,Reward: 525.0,106,525
Episode 107,Reward: 225.0,107,225
Episode 108,Reward: 675.0,108,675
Episode 109,Reward: 650.0,109,650
Episode 110,Reward: 500.0,110,500
Episode 111,Reward: 625.0,111,625
Episode 112,Reward: 600.0,112,600
Episode 113,Reward: 600.0,113,600
Episode 114,Reward: 575.0,114,575
Episode 115,Reward: 475.0,115,475
Episode 116,Reward: 625.0,116,625
Episode 117,Reward: 525.0,117,525
Episode 118,Reward: 550.0,118,550
Episode 119,Reward: 300.0,119,300
Episode 120,Reward: 600.0,120,600
Episode 121,Reward: 375.0,121,375
Episode 122,Reward: 650.0,122,650
Episode 123,Reward: 100.0,123,100
Episode 124,Reward: 225.0,124,225
Episode 125,Reward: 550.0,125,550
Episode 126,Reward: 525.0,126,525
Episode 127,Reward: 100.0,127,100
Episode 128,Reward: 625.0,128,625
Episode 129,Reward: 525.0,129,525
Episode 130,Reward: 575.0,130,575
Episode 131,Reward: 1125.0,131,1125
Episode 132,Reward: 675.0,132,675
Episode 133,Reward: 600.0,133,600
Episode 134,Reward: 200.0,134,200
Episode 135,Reward: 125.0,135,125
Episode 136,Reward: 575.0,136,575
Episode 137,Reward: 600.0,137,600
Episode 138,Reward: 725.0,138,725
Episode 139,Reward: 600.0,139,600
Episode 140,Reward: 600.0,140,600
Episode 141,Reward: 725.0,141,725
Episode 142,Reward: 650.0,142,650
Episode 143,Reward: 675.0,143,675
Episode 144,Reward: 475.0,144,475
Episode 145,Reward: 575.0,145,575
Episode 146,Reward: 1000.0,146,1000
Episode 147,Reward: 600.0,147,600
Episode 148,Reward: 500.0,148,500
Episode 149,Reward: 625.0,149,625
Episode 150,Reward: 525.0,150,525
Episode 151,Reward: 450.0,151,450
Episode 152,Reward: 700.0,152,700
Episode 153,Reward: 600.0,153,600
Episode 154,Reward: 500.0,154,500
Episode 155,Reward: 1350.0,155,1350
Episode 156,Reward: 350.0,156,350
Episode 157,Reward: 575.0,157,575
Episode 158,Reward: 700.0,158,700
Episode 159,Reward: 575.0,159,575
Episode 160,Reward: 550.0,160,550
Episode 161,Reward: 575.0,161,575
Episode 162,Reward: 600.0,162,600
Episode 163,Reward: 725.0,163,725
Episode 164,Reward: 475.0,164,475
Episode 165,Reward: 600.0,165,600
Episode 166,Reward: 325.0,166,325
Episode 167,Reward: 550.0,167,550
Episode 168,Reward: 250.0,168,250
Episode 169,Reward: 225.0,169,225
Episode 170,Reward: 600.0,170,600
Episode 171,Reward: 100.0,171,100
Episode 172,Reward: 450.0,172,450
Episode 173,Reward: 125.0,173,125
Episode 174,Reward: 475.0,174,475
Episode 175,Reward: 625.0,175,625
Episode 176,Reward: 750.0,176,750
Episode 177,Reward: 600.0,177,600
Episode 178,Reward: 600.0,178,600
Episode 179,Reward: 450.0,179,450
Episode 180,Reward: 600.0,180,600
Episode 181,Reward: 1075.0,181,1075
Episode 182,Reward: 125.0,182,125
Episode 183,Reward: 650.0,183,650
Episode 184,Reward: 250.0,184,250
Episode 185,Reward: 475.0,185,475
Episode 186,Reward: 250.0,186,250
Episode 187,Reward: 75.0,187,75
Episode 188,Reward: 200.0,188,200
Episode 189,Reward: 525.0,189,525
Episode 190,Reward: 25.0,190,25
Episode 191,Reward: 375.0,191,375
Episode 192,Reward: 375.0,192,375
Episode 193,Reward: 125.0,193,125
Episode 194,Reward: 100.0,194,100
Episode 195,Reward: 50.0,195,50
Episode 196,Reward: 75.0,196,75
Episode 197,Reward: 50.0,197,50
Episode 198,Reward: 50.0,198,50
Episode 199,Reward: 75.0,199,75
Episode 200,Reward: 50.0,200,50
Episode 201,Reward: 50.0,201,50
Episode 202,Reward: 25.0,202,25
Episode 203,Reward: 200.0,203,200
Episode 204,Reward: 325.0,204,325
Episode 205,Reward: 25.0,205,25
Episode 206,Reward: 450.0,206,450
Episode 207,Reward: 75.0,207,75
Episode 208,Reward: 125.0,208,125
Episode 209,Reward: 225.0,209,225
Episode 210,Reward: 275.0,210,275
Episode 211,Reward: 125.0,211,125
Episode 212,Reward: 400.0,212,400
Episode 213,Reward: 75.0,213,75
Episode 214,Reward: 525.0,214,525
Episode 215,Reward: 250.0,215,250
Episode 216,Reward: 900.0,216,900
Episode 217,Reward: 525.0,217,525
Episode 218,Reward: 150.0,218,150
Episode 219,Reward: 275.0,219,275
Episode 220,Reward: 400.0,220,400
Episode 221,Reward: 775.0,221,775
Episode 222,Reward: 325.0,222,325
Episode 223,Reward: 150.0,223,150
Episode 224,Reward: 600.0,224,600
Episode 225,Reward: 675.0,225,675
Episode 226,Reward: 125.0,226,125
Episode 227,Reward: 625.0,227,625
Episode 228,Reward: 625.0,228,625
Episode 229,Reward: 300.0,229,300
Episode 230,Reward: 300.0,230,300
Episode 231,Reward: 400.0,231,400
Episode 232,Reward: 325.0,232,325
Episode 233,Reward: 575.0,233,575
Episode 234,Reward: 650.0,234,650
Episode 235,Reward: 275.0,235,275
Episode 236,Reward: 500.0,236,500
Episode 237,Reward: 300.0,237,300
Episode 238,Reward: 600.0,238,600
Episode 239,Reward: 275.0,239,275
Episode 240,Reward: 550.0,240,550
Episode 241,Reward: 425.0,241,425
Episode 242,Reward: 600.0,242,600
Episode 243,Reward: 350.0,243,350
Episode 244,Reward: 250.0,244,250
Episode 245,Reward: 325.0,245,325
Episode 246,Reward: 650.0,246,650
Episode 247,Reward: 575.0,247,575
